kelurahan,unit_id,kecamatan,score,intersection_density,avg_block_length,sidewalk_pct,amenity_pct,n_int,n_block,n_sidewalk,n_amenity
Pasirendah,50,Ujungberung,84.98250876121756,184.27081494328615,50.204064452461694,0.0,98.81422924901186,100.0,99.94169587072523,0.0,100.0
Cigending,51,Ujungberung,85.74330336512244,224.82825524660814,51.27460287181763,1.1367400531329024,95.52715654952077,100.0,99.63582775090924,5.683700265664512,100.0
Pasirwangi,52,Ujungberung,85.1825363014521,154.82006681082098,49.326988437340866,0.2433817352694703,74.13793103448276,100.0,100.0,1.2169086763473513,100.0
Pasanggrahan,53,Ujungberung,86.42243580860877,192.7037285291142,51.4233784971254,2.0592529063879406,93.07359307359307,100.0,99.59332042939273,10.296264531939702,100.0
Pasirjati,54,Ujungberung,84.31023996977001,117.97403416985199,58.04720035268316,0.0,47.61904761904761,100.0,97.70079989923339,0.0,100.0
Rancabolang,55,Gedebage,84.28672965560392,109.52265764460644,72.17007515128898,1.5826957485715882,100.0,100.0,93.66569281391743,7.913478742857941,100.0
Cisaranten Kidul,56,Gedebage,97.69669276519046,190.69762924168938,51.982281319901524,17.15547012348079,98.18313953488372,100.0,99.43363390859956,85.77735061740395,100.0
Cipamokolan,57,Rancasari,84.3821673914114,213.36373325123705,57.811623551417256,0.06898016585336558,96.5,100.0,97.76810755673793,0.3449008292668279,100.0
Mekarjaya,58,Rancasari,84.69070232038783,221.66945419081884,54.116742558223336,0.05808795764738548,75.37942664418212,100.0,98.82378784050762,0.2904397882369274,100.0
Derwati,59,Rancasari,84.46935986667584,151.7815603934935,58.14012687761113,0.22278003681857955,91.2621359223301,100.0,97.67424946353968,1.113900184092898,100.0
Manjahlega,60,Rancasari,84.8397716880833,378.00737109307596,53.11632564913341,0.1425137535358414,100.0,100.0,99.10962124310474,0.712568767679207,100.0
Rancanumpang,61,Gedebage,83.6211161629673,170.22742623182285,67.11057598489668,0.11698261556364188,97.21115537848605,100.0,95.11126400431523,0.5849130778182094,100.0
Cimincrang,62,Gedebage,86.85309100761907,202.33743843261527,51.857969264281586,2.683127354648082,100.0,100.0,99.4691516387767,13.415636773240408,100.0
Cisurupan,63,Cibiru,85.31374764838174,97.02231299436829,59.45481111975672,1.498880040100206,94.36997319034852,100.0,97.29862539435523,7.494400200501031,100.0
Palasari,64,Cibiru,85.59210628657239,142.83235235084138,59.46955135838445,1.871709489721417,100.0,100.0,97.29441389760444,9.358547448607085,100.0
Cipadung,65,Cibiru,86.56362812155952,191.59784708281575,48.9018243376054,2.084837495412689,100.0,100.0,100.0,10.424187477063445,100.0
Pasirbiru,66,Cibiru,84.53369793008679,116.85884496660124,56.06877614931727,0.07183832384722313,100.0,100.0,98.26606395733792,0.35919161923611564,100.0
Cipadung Kulon,67,Panyileukan,85.03113127852461,174.66615960018322,48.77424930411755,0.0415083713661428,94.82758620689656,100.0,100.0,0.207541856830714,100.0
Mekarmulya,68,Panyileukan,85.31407498535211,194.65856920439083,45.4200710618107,0.41876664713614653,97.98488664987406,100.0,100.0,2.0938332356807328,100.0
Cipadung Kidul,69,Panyileukan,84.79142095309325,284.2392280014547,52.43342221391206,0.0,98.53896103896103,100.0,99.30473651031085,0.0,100.0
Cipadung Wetan,70,Panyileukan,87.43859977168434,93.31701066225013,64.66263643199648,4.927196240188239,96.82539682539682,100.0,95.81067530514386,24.6359812009412,100.0
Cijaura,71,Buahbatu,85.42155069941325,231.31464697183034,53.23939757719616,0.9322844651829315,100.0,100.0,99.07445783508682,4.661422325914658,100.0
Jatisari,72,Buahbatu,84.93281575993015,212.4802435276264,64.22048932890394,1.5356197936863647,100.0,100.0,95.93700304888459,7.678098968431824,100.0
Sekejati,73,Buahbatu,85.07660819655494,300.0129529224519,45.11799019158412,0.10214426207325662,100.0,100.0,100.0,0.5107213103662831,100.0
Margasari,74,Buahbatu,85.21154257361252,235.7505469735229,51.79756030851082,0.4874922286464877,85.64814814814815,100.0,99.48641134042549,2.4374611432324387,100.0
Batununggal,75,Bandung Kidul,85.0710374556664,248.6892348195822,55.99875945049289,0.7802891161829647,100.0,100.0,98.28606872843059,3.9014455809148236,100.0
